id,activation_status,channel,language,destination_path,utm_source,utm_medium,utm_campaign,utm_content,url,objective,activation_condition
linkedin_launch_en,activate_after_launch,linkedin,en,/platform,linkedin,social,model_platform_launch_202609,launch_en,https://powerchampion.ai/platform?utm_source=linkedin&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=launch_en,Explore platform,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
linkedin_launch_zh_hant,activate_after_launch,linkedin,zh-Hant,/zh-Hant/models,linkedin,social,model_platform_launch_202609,launch_zh_hant,https://powerchampion.ai/zh-Hant/models?utm_source=linkedin&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=launch_zh_hant,Explore localized catalog,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
developer_post_en,activate_after_launch,x,en,/integrations,x,social,model_platform_launch_202609,builder_en,https://powerchampion.ai/integrations?utm_source=x&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=builder_en,Generate integration example,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
developer_post_zh_hant,activate_after_launch,threads,zh-Hant,/integrations,threads,social,model_platform_launch_202609,builder_zh_hant,https://powerchampion.ai/integrations?utm_source=threads&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=builder_zh_hant,Generate integration example,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
customer_email_en,activate_after_launch,customer_email,en,/platform,customer_newsletter,email,model_platform_launch_202609,announcement_en,https://powerchampion.ai/platform?utm_source=customer_newsletter&utm_medium=email&utm_campaign=model_platform_launch_202609&utm_content=announcement_en,Explore platform,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
customer_email_zh_hant,activate_after_launch,customer_email,zh-Hant,/zh-Hant/models,customer_newsletter,email,model_platform_launch_202609,announcement_zh_hant,https://powerchampion.ai/zh-Hant/models?utm_source=customer_newsletter&utm_medium=email&utm_campaign=model_platform_launch_202609&utm_content=announcement_zh_hant,Explore localized catalog,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
linkedin_walkthrough_en,activate_after_launch,linkedin,en,/integrations,linkedin,social,model_platform_launch_202609,walkthrough_en,https://powerchampion.ai/integrations?utm_source=linkedin&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=walkthrough_en,Explore integration workflow,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
linkedin_walkthrough_zh_hant,activate_after_launch,linkedin,zh-Hant,/integrations,linkedin,social,model_platform_launch_202609,walkthrough_zh_hant,https://powerchampion.ai/integrations?utm_source=linkedin&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=walkthrough_zh_hant,Explore integration workflow,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
linkedin_modelguide_en,activate_after_launch,linkedin,en,/models,linkedin,social,model_platform_launch_202609,model_guide_en,https://powerchampion.ai/models?utm_source=linkedin&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=model_guide_en,Evaluate model capabilities,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
linkedin_modelguide_zh_hant,activate_after_launch,linkedin,zh-Hant,/zh-Hant/models,linkedin,social,model_platform_launch_202609,model_guide_zh_hant,https://powerchampion.ai/zh-Hant/models?utm_source=linkedin&utm_medium=social&utm_campaign=model_platform_launch_202609&utm_content=model_guide_zh_hant,Evaluate model capabilities,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
sales_onepager_en,activate_after_launch,sales_collateral,en,/platform,sales_onepager,referral,model_platform_launch_202609,overview_en,https://powerchampion.ai/platform?utm_source=sales_onepager&utm_medium=referral&utm_campaign=model_platform_launch_202609&utm_content=overview_en,Explore platform after introduction,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
sales_onepager_zh_hant,activate_after_launch,sales_collateral,zh-Hant,/zh-Hant/models,sales_onepager,referral,model_platform_launch_202609,overview_zh_hant,https://powerchampion.ai/zh-Hant/models?utm_source=sales_onepager&utm_medium=referral&utm_campaign=model_platform_launch_202609&utm_content=overview_zh_hant,Explore catalog after introduction,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication"
search_platform_en,activate_after_launch,search_ad_draft,en,/platform,google,cpc,model_platform_launch_202609,platform_en,https://powerchampion.ai/platform?utm_source=google&utm_medium=cpc&utm_campaign=model_platform_launch_202609&utm_content=platform_en,Explore development tools,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication; separate ad campaign and budget authorization required"
search_models_en,activate_after_launch,search_ad_draft,en,/models,google,cpc,model_platform_launch_202609,models_en,https://powerchampion.ai/models?utm_source=google&utm_medium=cpc&utm_campaign=model_platform_launch_202609&utm_content=models_en,Find model for workload,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication; separate ad campaign and budget authorization required"
search_integrations_en,activate_after_launch,search_ad_draft,en,/integrations,google,cpc,model_platform_launch_202609,integrations_en,https://powerchampion.ai/integrations?utm_source=google&utm_medium=cpc&utm_campaign=model_platform_launch_202609&utm_content=integrations_en,Generate integration example,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication; separate ad campaign and budget authorization required"
search_models_zh_hant,activate_after_launch,search_ad_draft,zh-Hant,/zh-Hant/models,google,cpc,model_platform_launch_202609,models_zh_hant,https://powerchampion.ai/zh-Hant/models?utm_source=google&utm_medium=cpc&utm_campaign=model_platform_launch_202609&utm_content=models_zh_hant,Explore localized catalog,"Verify public deployment, destination, claim accuracy, and attribution setup before authorized publication; separate ad campaign and budget authorization required"
